selection,Scenario name,veh_year,veh_pt_type,drag_coef,frontal_area_m2,glider_kg,veh_cg_m,drive_axle_weight_frac,wheel_base_m,cargo_kg,veh_override_kg,fs_max_kw,fs_secs_to_peak_pwr,fs_kwh,fs_kwh_per_kg,fc_max_kw,fc_eff_map,fc_eff_type,fc_sec_to_peak_pwr,fc_base_kg,fc_kw_per_kg,mc_pwr_out_perc,mc_max_kw,mc_sec_to_peak_pwr,stop_start,mc_pe_kg_per_kw,mc_pe_base_kg,ess_max_kw,ess_max_kwh,ess_kg_per_kwh,ess_base_kg,ess_round_trip_eff,ess_life_coef_a,ess_life_coef_b,wheel_inertia_kg_m2,num_wheels,wheel_rr_coef,wheel_radius_m,wheel_coef_of_fric,min_soc,max_soc,ess_dischg_to_fc_max_eff_perc,ess_chg_to_fc_max_eff_perc,max_accel_buffer_mph,max_accel_buffer_perc_of_useable_soc,perc_high_acc_buf,mph_fc_on,kw_demand_fc_on,alt_eff,chg_eff,aux_kw,force_aux_on_fc,trans_kg,trans_eff,comp_mass_multiplier,ess_to_fuel_ok_error,max_regen,val_udds_mpgge,val_hwy_mpgge,val_comb_mpgge,val_udds_kwh_per_mile,val_hwy_kwh_per_mile,val_comb_kwh_per_mile,val_cd_range_mi,val_const65_mph_kwh_per_mile,val_const60_mph_kwh_per_mile,val_const55_mph_kwh_per_mile,val_const45_mph_kwh_per_mile,val_unadj_udds_kwh_per_mile,val_unadj_hwy_kwh_per_mile,val0_to60_mph,val_ess_life_miles,val_range_miles,val_veh_base_cost,val_msrp,min_fc_time_on,idle_fc_kw
1,2016 TOYOTA Corolla 4cyl 2WD,,Conv,0.3,2.574,1045.636,0.53,0.61,2.6,136,,2000,1,441,9.89,98,"[0.10, 0.12, 0.16, 0.22, 0.28, 0.33, 0.35, 0.36, 0.35, 0.34, 0.32, 0.30]",SI,6,61,2.13,"[0.00, 0.02, 0.04, 0.06, 0.08,  0.10,  0.20,  0.40,  0.60,  0.80,  1.00]",0,4,FALSE,0.833,21.6,0,0,8,75,0.97,110,-0.6811,0.815,4,0.01,0.336,0.8,0.1,0.95,0,0,60,0.2,0,55,100,1,0.86,0.7,FALSE,114,0.92,1.4,0.005,0.98,27,36,31,,,,,,,,,,,9.9,,,,,30,1.96
2,2016 HYUNDAI Elantra 4cyl 2WD,,Conv,0.3,2.611,1090.626,0.53,0.59,2.6,136,,2000,1,468,9.89,110,"[0.10, 0.12, 0.16, 0.22, 0.28, 0.33, 0.35, 0.36, 0.35, 0.34, 0.32, 0.30]",SI,6,61,2.13,"[0.00, 0.02, 0.04, 0.06, 0.08,  0.10,  0.20,  0.40,  0.60,  0.80,  1.00]",0,4,FALSE,0.833,21.6,0,0,8,75,0.97,110,-0.6811,0.815,4,0.012,0.336,0.7,0.4,0.8,0,0,60,0.2,0,30,100,1,0.86,0.7,FALSE,114,0.92,1.4,0.005,0.98,27,37,31,,,,,,,,,,,9.9,,,,,30,2.2
3,2016 TOYOTA Camry 4cyl 2WD,,Conv,0.3,2.694,1334.332,0.53,0.59,2.6,136,,2000,1,568,9.89,149,"[0.10, 0.12, 0.16, 0.22, 0.28, 0.33, 0.35, 0.36, 0.35, 0.34, 0.32, 0.30]",SI,6,61,2.13,"[0.00, 0.02, 0.04, 0.06, 0.08,  0.10,  0.20,  0.40,  0.60,  0.80,  1.00]",0,4,FALSE,0.833,21.6,0,0,8,75,0.97,110,-0.6811,0.815,4,0.007,0.336,0.7,0.4,0.8,0,0,60,0.2,0,30,100,1,0.86,0.7,FALSE,114,0.92,1.4,0.005,0.98,25,35,28,,,,,,,,,,,8.6,,,,,30,2.98
4,2016 CHEVROLET Malibu 4cyl 2WD,,Conv,0.3,2.732,1146.223,0.53,0.59,2.6,136,,2000,1,434,9.89,119,"[0.10, 0.12, 0.16, 0.22, 0.28, 0.33, 0.35, 0.36, 0.35, 0.34, 0.32, 0.30]",SI,6,61,2.13,"[0.00, 0.02, 0.04, 0.06, 0.08,  0.10,  0.20,  0.40,  0.60,  0.80,  1.00]",0,4,FALSE,0.833,21.6,0,0,8,75,0.97,110,-0.6811,0.815,4,0.008,0.336,0.7,0.4,0.8,0,0,60,0.2,0,30,100,1,0.86,0.7,FALSE,114,0.92,1.4,0.005,0.98,27,37,31,,,,,,,,,,,8.4,,,,,30,2.38
5,2016 FORD Escape 4cyl 2WD,,Conv,0.355,3.066,1359.166,0.53,0.59,2.6,136,,2000,1,504,9.89,125,"[0.10, 0.12, 0.16, 0.22, 0.28, 0.33, 0.35, 0.36, 0.35, 0.34, 0.32, 0.30]",SI,6,61,2.13,"[0.00, 0.02, 0.04, 0.06, 0.08,  0.10,  0.20,  0.40,  0.60,  0.80,  1.00]",0,4,FALSE,0.833,21.6,0,0,8,75,0.97,110,-0.6811,0.815,4,0.006,0.336,0.7,0.4,0.8,0,0,60,0.2,0,30,100,1,0.86,0.7,FALSE,114,0.92,1.4,0.005,0.98,23,32,26,,,,,,,,,,,9.9,,,,,30,2.5
6,2016 FORD Explorer 4cyl 2WD,,Conv,0.34,3.568,1800.313,0.53,0.59,2.6,136,,2000,1,621,9.89,205,"[0.10, 0.12, 0.16, 0.22, 0.28, 0.33, 0.35, 0.36, 0.35, 0.34, 0.32, 0.30]",SI,6,61,2.13,"[0.00, 0.02, 0.04, 0.06, 0.08,  0.10,  0.20,  0.40,  0.60,  0.80,  1.00]",0,4,FALSE,0.833,21.6,0,0,8,75,0.97,110,-0.6811,0.815,4,0.008,0.336,0.7,0.4,0.8,0,0,60,0.2,0,30,100,1,0.86,0.7,FALSE,114,0.92,1.4,0.005,0.98,19,28,22,,,,,,,,,,,,,,,,30,4.1
7,2016 BMW 328d 4cyl 2WD,,Conv,0.3,2.565,1409.717,0.53,0.59,2.6,136,,2000,1,501,9.89,135,"[0.10, 0.14, 0.20, 0.26, 0.32, 0.39, 0.41, 0.42, 0.41, 0.38, 0.36, 0.34]",Diesel,6,61,2.13,"[0.00, 0.02, 0.04, 0.06, 0.08,  0.10,  0.20,  0.40,  0.60,  0.80,  1.00]",0,4,FALSE,0.833,21.6,0,0,8,75,0.97,110,-0.6811,0.815,4,0.012,0.336,0.7,0.4,0.8,0,0,60,0.2,0,60,60,1,0.86,0.7,FALSE,114,0.92,1.4,0.005,0.98,31,42,35,,,,,,,,,,,,,,,,30,2.7
8,2016 AUDI A3 4cyl 2WD,,Conv,0.395,2.565,1089.051,0.53,0.59,2.6,136,,2000,1,441,9.89,112,"[0.10, 0.14, 0.20, 0.26, 0.32, 0.39, 0.41, 0.42, 0.41, 0.38, 0.36, 0.34]",Diesel,6,61,2.13,"[0.00, 0.02, 0.04, 0.06, 0.08,  0.10,  0.20,  0.40,  0.60,  0.80,  1.00]",0,4,FALSE,0.833,21.6,0,0,8,75,0.97,110,-0.6811,0.815,4,0.01,0.336,0.7,0.4,0.8,0,0,60,0.2,0,60,60,1,0.86,0.7,FALSE,114,0.92,1.4,0.005,0.98,31,41,35,,,,,,,,,,,,,,,,30,2.24
9,2016 FORD C-MAX HEV,,HEV,0.325,2.973,1225.594,0.53,0.59,2.6,136,,2000,1,451,9.89,141,"[0.10, 0.12, 0.28, 0.35, 0.375, 0.39, 0.40, 0.40, 0.38, 0.37, 0.36, 0.35]",Atkinson,6,61,2.13,"[0.00, 0.02, 0.04, 0.06, 0.08,  0.10,  0.20,  0.40,  0.60,  0.80,  1.00]",35,4,FALSE,0.833,21.6,35,1,8,75,0.97,110,-0.6811,0.815,4,0.007,0.336,0.7,0.4,0.8,0,0,60,0.2,0,62,60,1,0.86,0.5,FALSE,114,0.95,1.4,0.005,0.98,42,37,40,,,,,,,,,,,8.4,,,17000,24170,30,2.82
10,2016 KIA Optima Hybrid,,HEV,0.3,2.732,1165.944,0.53,0.59,2.6,136,,2000,1,574,9.89,119,"[0.10, 0.12, 0.28, 0.35, 0.375, 0.39, 0.40, 0.40, 0.38, 0.37, 0.36, 0.35]",Atkinson,6,61,2.13,"[0.00, 0.02, 0.04, 0.06, 0.08,  0.10,  0.20,  0.40,  0.60,  0.80,  1.00]",35,4,FALSE,0.833,21.6,47,1,8,75,0.97,110,-0.6811,0.815,4,0.008,0.336,0.7,0.4,0.8,0,0,60,0.2,0,1,100,1,0.86,0.5,FALSE,114,0.95,1.4,0.005,0.98,36,40,38,,,,,,,,,,,,,,17000,25995,30,2.38
11,2016 TOYOTA Highlander Hybrid,,HEV,0.39,3.33,1527.574,0.53,0.59,2.6,136,,2000,1,574,9.89,172,"[0.10, 0.12, 0.28, 0.35, 0.375, 0.39, 0.40, 0.40, 0.38, 0.37, 0.36, 0.35]",Atkinson,6,61,2.13,"[0.00, 0.02, 0.04, 0.06, 0.08,  0.10,  0.20,  0.40,  0.60,  0.80,  1.00]",123,4,FALSE,0.833,21.6,37,2,8,75,0.97,110,-0.6811,0.815,4,0.007,0.336,0.7,0.4,0.8,0,0,60,0.2,0,1,100,1,0.86,0.5,FALSE,114,0.95,1.4,0.005,0.98,27,28,28,,,,,,,,,,,,,,,,30,3.44
12,2017 Prius Prime,2016,PHEV,0.27,2.582,1003.205,0.53,0.59,2.6,136,,2000,1,380,9.89,71,"[0.10, 0.12, 0.28, 0.35, 0.375, 0.39, 0.40, 0.40, 0.38, 0.37, 0.36, 0.35]",Atkinson,6,61,2.13,"[0.00, 0.02, 0.04, 0.06, 0.08,  0.10,  0.20,  0.40,  0.60,  0.80,  1.00]",53,3,FALSE,0.833,21.6,60,8.8,8,75,0.97,110,-0.6811,0.815,4,0.006,0.336,0.7,0.25,0.9,1,0,60,0.2,0,85,68,1,0.86,0.3,FALSE,114,0.98,1.4,0.005,0.98,,,54,,,0.25,25,,,,,,,10.6,,,,,30,1.42
13,2016 CHEVROLET Volt,,PHEV,0.3,2.565,950.564,0.53,0.59,2.6,136,,2000,1,297,9.89,75,"[0.10, 0.12, 0.16, 0.22, 0.28, 0.33, 0.35, 0.36, 0.35, 0.34, 0.32, 0.30]",SI,6,61,2.13,"[0.00, 0.02, 0.04, 0.06, 0.08,  0.10,  0.20,  0.40,  0.60,  0.80,  1.00]",111,3,FALSE,0.833,21.6,115,18.4,8,75,0.97,110,-0.6811,0.815,4,0.007,0.336,0.7,0.15,0.9,1,0,60,0.2,0,85,120,1,0.86,0.3,FALSE,114,0.98,1.4,0.005,0.98,,,42,,,0.31,53,,,,,,,8.4,120000,,17000,33170,30,1.5
14,2016 FORD C-MAX (PHEV),,PHEV,0.335,2.964,1092.131,0.53,0.59,2.6,136,,2000,1,468,9.89,105,"[0.10, 0.12, 0.28, 0.35, 0.375, 0.39, 0.40, 0.40, 0.38, 0.37, 0.36, 0.35]",Atkinson,6,61,2.13,"[0.00, 0.02, 0.04, 0.06, 0.08,  0.10,  0.20,  0.40,  0.60,  0.80,  1.00]",65,3,FALSE,0.833,21.6,68,7.6,8,75,0.97,110,-0.6811,0.815,4,0.007,0.336,0.7,0.15,0.9,1,0,60,0.2,0,85,68,1,0.86,0.3,FALSE,114,0.98,1.4,0.005,0.98,,,38,,,0.37,20,,,,,,,7.9,,,,,30,2.1
15,2016 BMW i3 REx PHEV,,PHEV,0.3,2.8,607.577,0.53,0.59,2.6,136,,2000,1,63,9.89,25,"[0.10, 0.12, 0.28, 0.35, 0.375, 0.39, 0.40, 0.40, 0.38, 0.37, 0.36, 0.35]",Atkinson,6,61,2.13,"[0.00, 0.02, 0.04, 0.06, 0.08,  0.10,  0.20,  0.40,  0.60,  0.80,  1.00]",127,3,FALSE,0.833,21.6,135,33,8,75,0.97,110,-0.6811,0.815,4,0.007,0.336,0.7,0.25,0.9,1,0,60,0.2,0,85,120,1,0.86,0.3,FALSE,114,0.98,1.4,0.005,0.98,,,,,,,,,,,,,,,,,,,30,0.5
16,2016 HYUNDAI Sonata PHEV,,PHEV,0.3,2.732,1121.959,0.53,0.59,2.8,136,,2000,1,484,9.89,115,"[0.10, 0.12, 0.28, 0.35, 0.375, 0.39, 0.40, 0.40, 0.38, 0.37, 0.36, 0.35]",Atkinson,6,61,2.13,"[0.00, 0.02, 0.04, 0.06, 0.08,  0.10,  0.20,  0.40,  0.60,  0.80,  1.00]",50,3,FALSE,0.833,21.6,68,9.8,8,75,0.97,110,-0.6811,0.815,4,0.007,0.336,0.7,0.15,0.9,1,0,60,0.2,0,85,120,1,0.86,0.3,FALSE,114,0.98,1.4,0.005,0.98,,,40,,,0.34,27,,,,,,,,,,18050,34600,30,2.3
17,2017 CHEVROLET Bolt,,BEV,0.29,2.845,648,0.44,0.7,2.6,136,,0,1,0,9.89,0,"[0.10, 0.12, 0.16, 0.22, 0.28, 0.33, 0.35, 0.36, 0.35, 0.34, 0.32, 0.30]",SI,6,61,2.13,"[0.00, 0.02, 0.04, 0.06, 0.08,  0.10,  0.20,  0.40,  0.60,  0.80,  1.00]",150,3,FALSE,0.833,21.6,160,60,6,75,0.97,110,-0.6811,0.815,4,0.0073,0.336,0.7,0.05,0.98,0,0,60,0.2,0,1,100,1,0.86,0.25,FALSE,114,0.98,1.4,0.005,0.98,,,,0.263,0.306,0.283,,,,,,,,6.8,,238,17000,37495,30,0
18,2016 CHEVROLET Spark EV,,BEV,0.33,2.357,647.505,0.44,0.7,2.38,136,,0,1,0,9.89,0,"[0.10, 0.12, 0.16, 0.22, 0.28, 0.33, 0.35, 0.36, 0.35, 0.34, 0.32, 0.30]",SI,6,61,2.13,"[0.00, 0.02, 0.04, 0.06, 0.08,  0.10,  0.20,  0.40,  0.60,  0.80,  1.00]",105,3,FALSE,0.833,21.6,115,21,8,75,0.97,110,-0.6811,0.815,4,0.007,0.336,0.7,0.03,0.98,0,0,60,0.2,0,1,100,1,0.86,0.25,FALSE,114,0.98,1.4,0.005,0.98,,,,0.261,0.306,0.281,,,,,,,,7.2,,,10275.75,25120,30,0
19,2016 Leaf 24 kWh,,BEV,0.315,2.755,819.961,0.53,0.59,2.6,136,,0,1,0,9.89,0,"[0.10, 0.12, 0.16, 0.22, 0.28, 0.33, 0.35, 0.36, 0.35, 0.34, 0.32, 0.30]",SI,6,61,2.13,"[0.00, 0.02, 0.04, 0.06, 0.08,  0.10,  0.20,  0.40,  0.60,  0.80,  1.00]",80,3,FALSE,0.833,21.6,86,24,8,75,0.97,110,-0.6811,0.815,4,0.008,0.336,0.7,0.05,0.95,0,0,60,0.2,0,1,100,1,0.86,0.25,FALSE,114,0.98,1.4,0.005,0.98,,,,0.2675,0.331,0.296,,,,,,,,10,,84,,,30,0
20,2016 Nissan Leaf 30 kWh,,BEV,0.315,2.755,817.894,0.53,0.59,2.6,136,,0,1,0,9.89,0,"[0.10, 0.12, 0.16, 0.22, 0.28, 0.33, 0.35, 0.36, 0.35, 0.34, 0.32, 0.30]",SI,6,61,2.13,"[0.00, 0.02, 0.04, 0.06, 0.08,  0.10,  0.20,  0.40,  0.60,  0.80,  1.00]",80,3,FALSE,0.833,21.6,86,30,7,75,0.97,110,-0.6811,0.815,4,0.008,0.336,0.7,0.05,0.95,0,0,60,0.2,0,1,100,1,0.86,0.25,FALSE,114,0.98,1.4,0.005,0.98,,,,0.265,0.331,0.293,,,,,,,,10,,107,,,30,0
21,2016 MITSUBISHI i-MiEV,,BEV,0.34,2.56,772.894,0.53,0.59,2.6,136,,0,1,0,9.89,0,"[0.10, 0.12, 0.16, 0.22, 0.28, 0.33, 0.35, 0.36, 0.35, 0.34, 0.32, 0.30]",SI,6,61,2.13,"[0.00, 0.02, 0.04, 0.06, 0.08,  0.10,  0.20,  0.40,  0.60,  0.80,  1.00]",49,3,FALSE,0.833,21.6,52,16,8,75,0.97,110,-0.6811,0.815,4,0.007,0.336,0.7,0.05,0.95,0,0,60,0.2,0,1,100,1,0.86,0.25,FALSE,114,0.98,1.4,0.005,0.98,,,,0.265,0.337,0.298,,,,,,,,,,,,,30,0
22,2016 TESLA Model S60 2WD,,BEV,0.3,2.832,666.945,-0.445,0.59,2.96,136,,0,1,0,9.89,0,"[0.10, 0.12, 0.16, 0.22, 0.28, 0.33, 0.35, 0.36, 0.35, 0.34, 0.32, 0.30]",SI,6,61,2.13,"[0.00, 0.02, 0.04, 0.06, 0.08,  0.10,  0.20,  0.40,  0.60,  0.80,  1.00]",285,3,FALSE,0.833,21.6,300,75,8,75,0.97,110,-0.6811,0.815,4,0.008,0.336,0.7,0.05,0.9,0,0,60,0.2,0,1,100,1,0.86,0.25,FALSE,114,0.98,1.4,0.005,0.98,,,,0.38,0.371,0.375,,,,,,,,5.5,,210,,,30,0
23,2016 Hyundai Tucson Fuel Cell,,HEV,0.355,3.016,1447.123,0.53,0.53,2.69,136,,1000,1,132,2.27373494,134,"[0.10, 0.30, 0.36, 0.45, 0.50, 0.56, 0.58, 0.60, 0.58, 0.57, 0.55, 0.54]",H2FC,7,0,1.492537313,"[0.00, 0.02, 0.04, 0.06, 0.08,  0.10,  0.20,  0.40,  0.60,  0.80,  1.00]",134,4,FALSE,0.833,21.6,24,0.95,30.8,0,0.97,110,-0.6844,0.815,4,0.0068,0.316,0.7,0.4,0.8,0,0,60,0.2,0,1,100,1,0.86,0.28,FALSE,114,0.98,1.4,0.005,0.98,48,50,49,,,,,,,,,,,12,,,,,30,2.68
24,Toyota Mirai,,HEV,0.3,2.786,1171.581,0.53,0.59,2.78,136,,1000,1,168.5,1.91,114,"[0.10, 0.30, 0.36, 0.45, 0.50, 0.56, 0.58, 0.60, 0.58, 0.57, 0.55, 0.54]",H2FC,5,0,2.04,"[0.00, 0.02, 0.04, 0.06, 0.08,  0.10,  0.20,  0.40,  0.60,  0.80,  1.00]",113,3,FALSE,0.833,21.6,33,1.6,44,0,0.97,110,-0.6844,0.815,4,0.0076,0.334,0.7,0.4,0.8,0,0,60,0.2,0,30,100,1,0.86,0.3,FALSE,114,0.98,1.4,0.005,0.98,67,67,67,,,,,,,,,,,9,,312,18817.28,57500,30,2.28
25,Regional Delivery Class 8 Truck,,Conv,0.8,10,13625,0.53,0.59,2.7536,136,15076,5000,1,4000,9.875636446,212,"[0.10, 0.14, 0.20, 0.26, 0.32, 0.39, 0.41, 0.42, 0.41, 0.38, 0.36, 0.34]",Diesel,6,61,0.62,"[0.00, 0.02, 0.04, 0.06, 0.08,  0.10,  0.20,  0.40,  0.60,  0.80,  1.00]",0,4,FALSE,0.833,21.6,0,0,44,0,0.97,135,-0.6844,0.815,4,0.0092,0.506,0.7,0.4,0.8,1,0.1,60,0.5,0,1,100,1,0.86,10,FALSE,114,0.85,1.4,0.005,0.98,,,,,,,,,,,,,,,,,,,30,4.24
26,Line Haul Conv,,Conv,0.6,8.5,13625,0.53,0.59,2.7536,136,21000,5000,1,8000,9.875636446,321,"[0.10, 0.14, 0.20, 0.26, 0.32, 0.39, 0.41, 0.42, 0.41, 0.38, 0.36, 0.34]",Diesel,6,61,0.62,"[0.00, 0.02, 0.04, 0.06, 0.08,  0.10,  0.20,  0.40,  0.60,  0.80,  1.00]",0,4,FALSE,0.833,21.6,0,0,44,0,0.97,135,-0.6844,1,10,0.006,0.4893,0.7,0.4,0.8,1,0.1,60,0.5,0,1,100,1,0.86,10,FALSE,114,0.8,1.4,0.005,0.98,,,,,,,,,,,,,,,,,,,30,6.42